GENENAME	GENEID	ENTREZID	GENEBIOTYPE
AC114781.2	ENSG00000250057	NA	lncRNA
AC114781.3	ENSG00000250677	NA	processed_pseudogene
AC114781.4	ENSG00000251647	NA	processed_pseudogene
AC114781.5	ENSG00000274154	NA	processed_pseudogene
AC114786.1	ENSG00000249763	NA	processed_pseudogene
AC114786.2	ENSG00000250612	NA	processed_pseudogene
AC114786.3	ENSG00000251691	NA	unprocessed_pseudogene
AC114786.4	ENSG00000268209	NA	unprocessed_pseudogene
AC114797.1	ENSG00000268803	NA	unprocessed_pseudogene
AC114798.1	ENSG00000286119	NA	lncRNA
AC114801.1	ENSG00000248128	NA	processed_pseudogene
AC114801.2	ENSG00000248926	NA	processed_pseudogene
AC114801.3	ENSG00000249072	NA	processed_pseudogene
AC114802.1	ENSG00000286347	NA	lncRNA
AC114803.1	ENSG00000230432	NA	lncRNA
AC114808.1	ENSG00000235403	NA	lncRNA
AC114808.2	ENSG00000236665	NA	lncRNA
AC114810.1	ENSG00000271868	NA	lncRNA
AC114810.2	ENSG00000281723	NA	lncRNA
AC114811.1	ENSG00000249764	NA	processed_pseudogene
AC114811.2	ENSG00000260641	NA	lncRNA
AC114812.1	ENSG00000178836	NA	transcribed_processed_pseudogene
AC114812.2	ENSG00000224814	NA	lncRNA
AC114812.3	ENSG00000248114	NA	unprocessed_pseudogene
AC114812.4	ENSG00000248705	NA	unprocessed_pseudogene
AC114814.1	ENSG00000226542	NA	lncRNA
AC114814.2	ENSG00000231032	NA	processed_pseudogene
AC114814.3	ENSG00000235293	NA	lncRNA
AC114878.1	ENSG00000230718	NA	processed_pseudogene
AC114878.2	ENSG00000270911	NA	processed_pseudogene
AC114928.1	ENSG00000249349	NA	lncRNA
AC114930.1	ENSG00000286134	NA	lncRNA
AC114936.1	ENSG00000275495	NA	transcribed_unprocessed_pseudogene
AC114936.2	ENSG00000281048	NA	lncRNA
AC114936.3	ENSG00000281081	NA	lncRNA
AC114936.4	ENSG00000281513	NA	lncRNA
AC114939.1	ENSG00000251330	NA	lncRNA
AC114940.1	ENSG00000250145	NA	processed_pseudogene
AC114940.2	ENSG00000252337	NA	snoRNA
AC114947.1	ENSG00000188850	NA	transcribed_processed_pseudogene
AC114947.2	ENSG00000261604	NA	lncRNA
AC114954.1	ENSG00000248148	NA	lncRNA
AC114956.1	ENSG00000248240	NA	lncRNA
AC114956.2	ENSG00000248554	NA	lncRNA
AC114956.3	ENSG00000249492	NA	lncRNA
AC114964.1	ENSG00000248699	NA	processed_pseudogene
AC114964.2	ENSG00000286377	NA	lncRNA
AC114967.1	ENSG00000248120	NA	processed_pseudogene
AC114971.1	ENSG00000287862	NA	lncRNA
AC114973.1	ENSG00000233943	NA	processed_pseudogene
AC114977.1	ENSG00000285552	NA	lncRNA
AC114977.2	ENSG00000285616	NA	lncRNA
AC114980.1	ENSG00000251023	NA	lncRNA
AC114981.1	ENSG00000249285	NA	processed_pseudogene
AC114982.1	ENSG00000240436	NA	processed_pseudogene
AC114982.2	ENSG00000241991	NA	processed_pseudogene
AC115085.1	ENSG00000252352	NA	snoRNA
AC115088.1	ENSG00000252427	NA	snoRNA
AC115090.1	ENSG00000282205	NA	lncRNA
AC115099.1	ENSG00000263167	NA	lncRNA
AC115100.1	ENSG00000286605	NA	lncRNA
AC115102.1	ENSG00000259654	NA	lncRNA
AC115115.1	ENSG00000236555	NA	processed_pseudogene
AC115220.1	ENSG00000241149	NA	protein_coding
AC115220.2	ENSG00000285544	NA	lncRNA
AC115220.3	ENSG00000286397	NA	lncRNA
AC115223.1	ENSG00000243199	NA	processed_pseudogene
AC115282.1	ENSG00000286353	NA	lncRNA
AC115282.2	ENSG00000288029	NA	lncRNA
AC115283.1	ENSG00000230111	NA	processed_pseudogene
AC115284.1	ENSG00000272762	NA	lncRNA
AC115284.2	ENSG00000280422	NA	TEC
AC115284.3	ENSG00000285685	NA	lncRNA
AC115284.4	ENSG00000287707	NA	lncRNA
AC115285.1	ENSG00000235907	NA	processed_pseudogene
AC115286.1	ENSG00000270241	NA	processed_pseudogene
AC115485.1	ENSG00000287740	NA	lncRNA
AC115522.1	ENSG00000268601	NA	lncRNA
AC115618.1	ENSG00000204620	NA	lncRNA
AC115618.2	ENSG00000228343	NA	lncRNA
AC115618.3	ENSG00000279528	NA	TEC
AC115619.1	ENSG00000261012	NA	lncRNA
AC115621.1	ENSG00000270387	NA	processed_pseudogene
AC115622.1	ENSG00000251488	NA	lncRNA
AC115676.1	ENSG00000255958	NA	lncRNA
AC115837.1	ENSG00000253341	NA	processed_pseudogene
AC115837.2	ENSG00000254080	NA	lncRNA
AC115989.1	ENSG00000264932	NA	lncRNA
AC115990.1	ENSG00000255489	NA	processed_pseudogene
AC116003.1	ENSG00000264116	NA	lncRNA
AC116003.2	ENSG00000266774	NA	lncRNA
AC116003.3	ENSG00000276993	NA	lncRNA
AC116021.1	ENSG00000254639	NA	lncRNA
AC116025.1	ENSG00000261978	NA	lncRNA
AC116025.2	ENSG00000262172	NA	lncRNA
AC116035.1	ENSG00000227549	NA	lncRNA
AC116036.1	ENSG00000236722	NA	processed_pseudogene
AC116036.2	ENSG00000272360	NA	lncRNA
AC116038.1	ENSG00000231243	NA	lncRNA
AC116049.1	ENSG00000236562	NA	processed_pseudogene
AC116049.2	ENSG00000249413	NA	lncRNA
AC116049.3	ENSG00000283109	NA	lncRNA
AC116050.1	ENSG00000278131	NA	unprocessed_pseudogene
AC116096.1	ENSG00000261734	NA	lncRNA
AC116099.1	ENSG00000285782	NA	lncRNA
AC116158.1	ENSG00000259326	NA	lncRNA
AC116158.2	ENSG00000259598	NA	lncRNA
AC116158.3	ENSG00000286786	NA	lncRNA
AC116165.1	ENSG00000277505	NA	unprocessed_pseudogene
AC116165.10	ENSG00000281754	NA	unprocessed_pseudogene
AC116165.2	ENSG00000278541	NA	processed_pseudogene
AC116165.3	ENSG00000278552	NA	unprocessed_pseudogene
AC116165.4	ENSG00000280476	NA	unprocessed_pseudogene
AC116165.5	ENSG00000280490	NA	processed_pseudogene
AC116165.6	ENSG00000280679	NA	unprocessed_pseudogene
AC116165.7	ENSG00000281012	NA	processed_pseudogene
AC116165.8	ENSG00000281254	NA	processed_pseudogene
AC116165.9	ENSG00000281737	NA	unprocessed_pseudogene
AC116312.1	ENSG00000272411	NA	lncRNA
AC116317.1	ENSG00000286176	107986257	lncRNA
AC116337.1	ENSG00000196390	NA	processed_pseudogene
AC116337.2	ENSG00000239517	NA	processed_pseudogene
AC116337.3	ENSG00000249856	NA	lncRNA
AC116337.4	ENSG00000287701	NA	lncRNA
AC116345.1	ENSG00000249743	NA	lncRNA
AC116345.2	ENSG00000250747	NA	processed_pseudogene
AC116345.3	ENSG00000251599	NA	lncRNA
AC116345.4	ENSG00000287090	NA	lncRNA
AC116347.1	ENSG00000238000	NA	processed_pseudogene
AC116347.2	ENSG00000249135	NA	processed_pseudogene
AC116348.1	ENSG00000260487	NA	lncRNA
AC116348.2	ENSG00000261332	NA	lncRNA
AC116348.3	ENSG00000261346	NA	lncRNA
AC116348.4	ENSG00000280137	NA	TEC
AC116350.1	ENSG00000287540	NA	lncRNA
AC116351.1	ENSG00000215246	NA	lncRNA
AC116351.2	ENSG00000272347	NA	lncRNA
AC116351.3	ENSG00000281019	NA	lncRNA
AC116351.4	ENSG00000281521	NA	lncRNA
AC116353.1	ENSG00000200235	NA	snoRNA
AC116353.2	ENSG00000240518	NA	processed_pseudogene
AC116353.3	ENSG00000248106	NA	processed_pseudogene
AC116353.4	ENSG00000250515	NA	processed_pseudogene
AC116353.5	ENSG00000283155	NA	lncRNA
AC116353.6	ENSG00000283602	NA	transcribed_unitary_pseudogene
AC116359.1	ENSG00000249541	NA	processed_pseudogene
AC116361.1	ENSG00000287947	NA	lncRNA
AC116362.1	ENSG00000248752	NA	lncRNA
AC116362.2	ENSG00000286111	NA	lncRNA
AC116366.1	ENSG00000234290	NA	lncRNA
AC116366.2	ENSG00000238160	NA	lncRNA
AC116366.3	ENSG00000283782	NA	protein_coding
AC116407.1	ENSG00000214708	NA	lncRNA
AC116407.2	ENSG00000277511	NA	lncRNA
AC116407.3	ENSG00000280020	NA	TEC
AC116407.4	ENSG00000280033	NA	TEC
AC116424.1	ENSG00000250129	NA	lncRNA
AC116428.1	ENSG00000286882	NA	lncRNA
AC116447.1	ENSG00000274918	NA	lncRNA
AC116456.1	ENSG00000254921	NA	lncRNA
AC116456.2	ENSG00000279391	NA	TEC
AC116533.1	ENSG00000244398	NA	processed_pseudogene
AC116534.1	ENSG00000287962	NA	lncRNA
AC116535.1	ENSG00000246308	NA	lncRNA
AC116552.1	ENSG00000261744	NA	lncRNA
AC116553.1	ENSG00000261782	NA	processed_pseudogene
AC116553.2	ENSG00000279666	NA	TEC
AC116562.1	ENSG00000243894	NA	processed_pseudogene
AC116562.2	ENSG00000248669	NA	processed_pseudogene
AC116562.3	ENSG00000250940	NA	processed_pseudogene
AC116562.4	ENSG00000284727	NA	transcribed_unprocessed_pseudogene
AC116563.1	ENSG00000250126	NA	lncRNA
AC116563.2	ENSG00000280352	NA	TEC
AC116565.1	ENSG00000283183	NA	lncRNA
AC116609.1	ENSG00000223751	NA	lncRNA
AC116609.2	ENSG00000231173	NA	lncRNA
AC116609.3	ENSG00000272342	NA	lncRNA
AC116609.4	ENSG00000281362	NA	lncRNA
AC116611.1	ENSG00000286784	NA	lncRNA
AC116612.1	ENSG00000258507	NA	lncRNA
AC116612.2	ENSG00000288247	NA	lncRNA
AC116616.1	ENSG00000249875	NA	lncRNA
AC116634.1	ENSG00000248601	NA	lncRNA
AC116651.1	ENSG00000273133	NA	lncRNA
AC116655.1	ENSG00000219492	NA	unprocessed_pseudogene
AC116666.1	ENSG00000231937	NA	lncRNA
AC116667.1	ENSG00000271009	NA	lncRNA
AC116667.2	ENSG00000284675	NA	lncRNA
AC116903.1	ENSG00000258761	NA	lncRNA
AC116903.2	ENSG00000260661	NA	lncRNA
AC116913.1	ENSG00000261351	NA	lncRNA
AC116913.2	ENSG00000280554	NA	snoRNA
AC116914.1	ENSG00000262358	NA	lncRNA
AC116914.2	ENSG00000262692	NA	lncRNA
AC116917.1	ENSG00000224012	NA	processed_pseudogene
AC117372.1	ENSG00000257292	NA	unprocessed_pseudogene
AC117373.1	ENSG00000256137	NA	lncRNA
AC117373.2	ENSG00000286394	NA	lncRNA
AC117377.1	ENSG00000258039	NA	lncRNA
AC117378.1	ENSG00000285625	NA	protein_coding
AC117382.1	ENSG00000240695	NA	processed_pseudogene
AC117382.2	ENSG00000261758	NA	lncRNA
AC117383.1	ENSG00000249417	NA	lncRNA
AC117383.2	ENSG00000249540	NA	processed_pseudogene
AC117386.1	ENSG00000241048	NA	lncRNA
AC117386.2	ENSG00000243944	NA	lncRNA
AC117392.1	ENSG00000239706	NA	processed_pseudogene
AC117394.1	ENSG00000241671	NA	processed_pseudogene
AC117394.2	ENSG00000244268	NA	lncRNA
AC117395.1	ENSG00000242791	NA	lncRNA
AC117409.1	ENSG00000240854	NA	processed_pseudogene
AC117415.1	ENSG00000276690	NA	misc_RNA
AC117415.2	ENSG00000278026	NA	misc_RNA
AC117422.1	ENSG00000248607	NA	lncRNA
AC117430.1	ENSG00000240895	NA	lncRNA
AC117434.1	ENSG00000238026	NA	processed_pseudogene
AC117435.1	ENSG00000286956	NA	lncRNA
AC117440.1	ENSG00000243886	NA	processed_pseudogene
AC117453.1	ENSG00000223930	NA	lncRNA
AC117454.1	ENSG00000242119	NA	processed_pseudogene
AC117457.1	ENSG00000275163	NA	protein_coding
AC117460.1	ENSG00000249225	NA	lncRNA
AC117461.1	ENSG00000288105	NA	lncRNA
AC117462.1	ENSG00000240573	NA	lncRNA
AC117464.1	ENSG00000287158	NA	lncRNA
AC117465.1	ENSG00000226782	NA	lncRNA
AC117469.1	ENSG00000286317	NA	lncRNA
AC117470.1	ENSG00000251172	NA	processed_pseudogene
AC117473.1	ENSG00000251088	NA	lncRNA
AC117480.1	ENSG00000287143	NA	lncRNA
AC117481.1	ENSG00000287398	NA	lncRNA
AC117482.1	ENSG00000241776	NA	processed_pseudogene
AC117488.1	ENSG00000288022	NA	lncRNA
AC117489.1	ENSG00000278934	NA	TEC
AC117490.1	ENSG00000225240	NA	unprocessed_pseudogene
AC117490.2	ENSG00000273013	NA	lncRNA
AC117498.1	ENSG00000257653	NA	lncRNA
AC117498.2	ENSG00000271547	NA	processed_pseudogene
AC117500.1	ENSG00000249926	NA	lncRNA
AC117500.2	ENSG00000255933	NA	lncRNA
AC117500.3	ENSG00000256258	NA	lncRNA
AC117500.4	ENSG00000279153	NA	TEC
AC117500.5	ENSG00000279455	NA	TEC
AC117500.6	ENSG00000287639	NA	lncRNA
AC117503.1	ENSG00000255839	NA	lncRNA
AC117503.2	ENSG00000278861	NA	TEC
AC117503.3	ENSG00000279953	NA	TEC
AC117503.4	ENSG00000280300	NA	TEC
AC117503.5	ENSG00000286092	NA	lncRNA
AC117505.1	ENSG00000257514	NA	lncRNA
AC117509.1	ENSG00000286492	NA	lncRNA
AC117522.1	ENSG00000248170	NA	processed_pseudogene
AC117522.2	ENSG00000249792	NA	lncRNA
AC117522.3	ENSG00000250253	NA	processed_pseudogene
AC117525.1	ENSG00000249495	NA	processed_pseudogene
AC117528.1	ENSG00000286577	NA	lncRNA
AC117529.1	ENSG00000250017	NA	processed_pseudogene
AC117529.2	ENSG00000250422	NA	processed_pseudogene
AC117532.1	ENSG00000250455	NA	unprocessed_pseudogene
AC117569.1	ENSG00000264587	NA	lncRNA
AC117569.2	ENSG00000287803	105372045	lncRNA
AC117834.1	ENSG00000253197	NA	lncRNA
AC117834.2	ENSG00000253577	NA	lncRNA
AC117944.1	ENSG00000236676	NA	lncRNA
AC117945.1	ENSG00000234481	NA	lncRNA
AC117945.2	ENSG00000284720	NA	lncRNA
AC117947.1	ENSG00000236440	NA	processed_pseudogene
AC118273.1	ENSG00000254412	NA	processed_pseudogene
AC118273.2	ENSG00000255338	NA	processed_pseudogene
AC118282.1	ENSG00000237961	NA	processed_pseudogene
AC118282.2	ENSG00000249079	NA	processed_pseudogene
AC118282.3	ENSG00000249828	NA	processed_pseudogene
AC118282.4	ENSG00000280043	NA	TEC
AC118282.5	ENSG00000288144	NA	processed_pseudogene
AC118282.6	ENSG00000288158	NA	processed_pseudogene
AC118282.7	ENSG00000288184	NA	protein_coding
AC118282.8	ENSG00000288290	NA	TEC
AC118282.9	ENSG00000288294	NA	processed_pseudogene
AC118344.1	ENSG00000205041	NA	lncRNA
AC118344.2	ENSG00000279759	NA	TEC
AC118345.1	ENSG00000227293	NA	lncRNA
AC118459.1	ENSG00000275536	NA	lncRNA
AC118459.2	ENSG00000277606	NA	transcribed_unprocessed_pseudogene
AC118465.1	ENSG00000248885	NA	processed_pseudogene
AC118469.1	ENSG00000232918	NA	processed_pseudogene
AC118469.2	ENSG00000286692	NA	lncRNA
AC118470.1	ENSG00000239395	NA	protein_coding
AC118549.1	ENSG00000036549	26009	protein_coding
AC118553.1	ENSG00000228084	NA	lncRNA
AC118553.2	ENSG00000283761	NA	protein_coding
AC118555.1	ENSG00000235096	NA	lncRNA
AC118650.1	ENSG00000276685	NA	misc_RNA
AC118653.1	ENSG00000225818	NA	lncRNA
AC118653.2	ENSG00000282257	NA	lncRNA
AC118658.1	ENSG00000278022	NA	lncRNA
AC118754.1	ENSG00000229782	NA	lncRNA
AC118754.2	ENSG00000262921	NA	lncRNA
AC118755.1	ENSG00000262296	NA	lncRNA
AC118755.2	ENSG00000265349	NA	lncRNA
AC118757.1	ENSG00000267627	NA	lncRNA
AC118758.1	ENSG00000233437	NA	transcribed_unprocessed_pseudogene
AC118758.2	ENSG00000277253	NA	processed_pseudogene
AC118758.3	ENSG00000279072	NA	lncRNA
AC118942.1	ENSG00000255532	NA	transcribed_unprocessed_pseudogene
AC119044.1	ENSG00000258352	NA	transcribed_processed_pseudogene
AC119150.1	ENSG00000249916	NA	lncRNA
AC119150.2	ENSG00000287794	NA	unitary_pseudogene
AC119396.1	ENSG00000263264	NA	protein_coding
AC119396.2	ENSG00000267852	NA	lncRNA
AC119403.1	ENSG00000253392	NA	lncRNA
AC119403.2	ENSG00000266938	NA	processed_pseudogene
AC119424.1	ENSG00000243384	NA	lncRNA
AC119427.1	ENSG00000282221	NA	lncRNA
AC119427.2	ENSG00000286600	NA	lncRNA
AC119428.1	ENSG00000226938	NA	lncRNA
AC119428.2	ENSG00000285954	NA	lncRNA
AC119501.1	ENSG00000271578	NA	processed_pseudogene
AC119619.1	ENSG00000273800	NA	unprocessed_pseudogene
AC119673.1	ENSG00000285521	NA	lncRNA
AC119673.2	ENSG00000286619	NA	lncRNA
AC119674.1	ENSG00000260971	NA	lncRNA
AC119674.2	ENSG00000284686	NA	protein_coding
AC119676.1	ENSG00000284895	NA	protein_coding
AC119677.1	ENSG00000229528	NA	lncRNA
AC119740.1	ENSG00000276304	NA	misc_RNA
AC119744.1	ENSG00000236241	NA	processed_pseudogene
AC119749.1	ENSG00000231349	NA	processed_pseudogene
AC119751.1	ENSG00000232471	NA	unprocessed_pseudogene
AC119751.2	ENSG00000248532	NA	processed_pseudogene
AC119751.3	ENSG00000248583	NA	unprocessed_pseudogene
AC119751.4	ENSG00000250753	NA	processed_pseudogene
AC119751.5	ENSG00000250769	NA	processed_pseudogene
AC119751.6	ENSG00000251630	NA	processed_pseudogene
AC119751.7	ENSG00000268967	NA	processed_pseudogene
AC119751.8	ENSG00000269848	NA	processed_pseudogene
AC119800.1	ENSG00000237852	NA	lncRNA
AC119868.1	ENSG00000264845	NA	transcribed_processed_pseudogene
AC119868.2	ENSG00000265643	NA	lncRNA
AC120024.1	ENSG00000260369	NA	lncRNA
AC120024.2	ENSG00000262000	NA	processed_pseudogene
AC120024.3	ENSG00000271340	NA	processed_pseudogene
AC120024.4	ENSG00000279273	NA	TEC
AC120035.1	ENSG00000282029	NA	lncRNA
AC120036.1	ENSG00000248347	NA	unprocessed_pseudogene
AC120036.2	ENSG00000253817	NA	processed_pseudogene
AC120036.3	ENSG00000254348	NA	processed_pseudogene
AC120036.4	ENSG00000255366	NA	lncRNA
AC120036.5	ENSG00000285992	NA	lncRNA
AC120042.1	ENSG00000240915	NA	lncRNA
AC120042.2	ENSG00000253121	NA	lncRNA
AC120045.1	ENSG00000259906	NA	lncRNA
AC120045.2	ENSG00000261747	NA	unprocessed_pseudogene
AC120049.1	ENSG00000267414	101927943	lncRNA
AC120053.1	ENSG00000271971	NA	lncRNA
AC120057.1	ENSG00000262067	NA	processed_pseudogene
AC120057.2	ENSG00000262526	NA	protein_coding
AC120057.3	ENSG00000279641	NA	TEC
AC120057.4	ENSG00000279812	NA	TEC
AC120114.1	ENSG00000247735	NA	lncRNA
AC120114.2	ENSG00000278713	NA	lncRNA
AC120114.3	ENSG00000279789	NA	TEC
AC120114.4	ENSG00000281348	NA	protein_coding
AC120193.1	ENSG00000253535	NA	lncRNA
AC120194.1	ENSG00000287230	NA	lncRNA
AC120338.1	ENSG00000279682	NA	TEC
AC120349.1	ENSG00000269365	NA	lncRNA
AC120349.2	ENSG00000279366	NA	TEC
AC120349.3	ENSG00000279707	NA	TEC
AC120498.1	ENSG00000259910	NA	lncRNA
AC120498.10	ENSG00000277010	NA	lncRNA
AC120498.2	ENSG00000260182	NA	lncRNA
AC120498.3	ENSG00000260403	NA	lncRNA
AC120498.4	ENSG00000260710	NA	lncRNA
AC120498.5	ENSG00000260991	NA	unprocessed_pseudogene
AC120498.6	ENSG00000261294	NA	lncRNA
AC120498.7	ENSG00000261564	NA	unprocessed_pseudogene
AC120498.8	ENSG00000273551	NA	lncRNA
AC120498.9	ENSG00000274751	NA	lncRNA
AC121154.1	ENSG00000249837	NA	lncRNA
AC121161.1	ENSG00000248387	NA	processed_pseudogene
AC121161.2	ENSG00000249901	NA	lncRNA
AC121247.1	ENSG00000225399	NA	lncRNA
AC121247.2	ENSG00000270538	NA	processed_pseudogene
AC121251.1	ENSG00000228171	NA	unprocessed_pseudogene
AC121320.1	ENSG00000266237	NA	lncRNA
AC121333.1	ENSG00000261826	NA	lncRNA
AC121334.1	ENSG00000255991	NA	processed_pseudogene
AC121334.2	ENSG00000270273	NA	processed_pseudogene
AC121334.3	ENSG00000285732	NA	lncRNA
AC121334.4	ENSG00000286576	NA	lncRNA
AC121336.1	ENSG00000199571	NA	snoRNA
AC121338.1	ENSG00000205537	NA	lncRNA
AC121338.2	ENSG00000278385	NA	lncRNA
AC121342.1	ENSG00000233403	NA	lncRNA
AC121343.1	ENSG00000201666	NA	snoRNA
AC121493.1	ENSG00000270059	NA	lncRNA
AC121757.1	ENSG00000257829	NA	lncRNA
AC121757.2	ENSG00000287051	NA	lncRNA
AC121758.1	ENSG00000212383	NA	snoRNA
AC121758.2	ENSG00000258679	NA	transcribed_processed_pseudogene
AC121758.3	ENSG00000258816	NA	unprocessed_pseudogene
AC121758.4	ENSG00000273536	NA	processed_pseudogene
AC121761.1	ENSG00000257497	NA	lncRNA
AC121761.2	ENSG00000273987	NA	lncRNA
AC121764.1	ENSG00000242317	NA	lncRNA
AC121764.2	ENSG00000242568	NA	lncRNA
AC121764.3	ENSG00000242775	NA	lncRNA
AC122108.1	ENSG00000259187	NA	lncRNA
AC122108.2	ENSG00000276121	NA	lncRNA
AC122129.1	ENSG00000197815	NA	lncRNA
AC122129.2	ENSG00000264167	NA	lncRNA
AC122133.1	ENSG00000275061	NA	unprocessed_pseudogene
AC122134.1	ENSG00000261298	NA	lncRNA
AC122136.1	ENSG00000227824	NA	lncRNA
AC122138.1	ENSG00000250024	NA	lncRNA
AC122179.1	ENSG00000238387	NA	snoRNA
AC122683.1	ENSG00000226302	NA	lncRNA
AC122685.1	ENSG00000258763	NA	lncRNA
AC122688.1	ENSG00000256093	NA	processed_pseudogene
AC122688.2	ENSG00000256814	NA	lncRNA
AC122688.3	ENSG00000279233	NA	TEC
AC122688.4	ENSG00000280117	NA	TEC
AC122688.5	ENSG00000287240	NA	lncRNA
AC122694.1	ENSG00000250122	NA	lncRNA
AC122697.1	ENSG00000286953	NA	lncRNA
AC122707.1	ENSG00000248285	NA	lncRNA
AC122710.1	ENSG00000250060	NA	lncRNA
AC122710.2	ENSG00000272071	NA	lncRNA
AC122713.1	ENSG00000253480	NA	processed_pseudogene
AC122713.2	ENSG00000278965	NA	TEC
AC122714.1	ENSG00000250749	NA	processed_pseudogene
AC122714.2	ENSG00000251352	NA	processed_pseudogene
AC122718.1	ENSG00000250461	NA	processed_pseudogene
AC122718.2	ENSG00000251682	NA	processed_pseudogene
AC122719.1	ENSG00000248949	NA	lncRNA
AC122719.2	ENSG00000250173	NA	lncRNA
AC122719.3	ENSG00000287600	NA	lncRNA
AC123023.1	ENSG00000236452	NA	lncRNA
AC123023.2	ENSG00000287981	NA	lncRNA
AC123512.1	ENSG00000286907	NA	lncRNA
AC123567.1	ENSG00000257360	NA	processed_pseudogene
AC123567.2	ENSG00000258035	NA	lncRNA
AC123595.1	ENSG00000234292	NA	lncRNA
AC123595.2	ENSG00000286638	NA	lncRNA
AC123767.1	ENSG00000254067	NA	transcribed_unitary_pseudogene
AC123768.1	ENSG00000241818	NA	lncRNA
AC123768.2	ENSG00000244952	NA	lncRNA
AC123768.3	ENSG00000262728	NA	lncRNA
AC123768.4	ENSG00000276724	NA	lncRNA
AC123768.5	ENSG00000285948	NA	lncRNA
AC123769.1	ENSG00000279674	NA	TEC
AC123777.1	ENSG00000254813	NA	lncRNA
AC123784.1	ENSG00000285883	NA	lncRNA
AC123786.1	ENSG00000264693	NA	lncRNA
AC123786.2	ENSG00000271702	NA	processed_pseudogene
AC123786.3	ENSG00000286727	NA	lncRNA
AC123788.1	ENSG00000254592	NA	lncRNA
AC123788.2	ENSG00000273813	NA	processed_pseudogene
AC123900.1	ENSG00000230119	NA	processed_pseudogene
AC123904.1	ENSG00000188646	NA	processed_pseudogene
AC123904.2	ENSG00000257323	NA	processed_pseudogene
AC123904.3	ENSG00000257998	NA	processed_pseudogene
AC123905.1	ENSG00000257265	NA	lncRNA
AC123912.1	ENSG00000268081	NA	lncRNA
AC123912.2	ENSG00000268240	NA	lncRNA
AC123912.3	ENSG00000268278	NA	unprocessed_pseudogene
AC123912.4	ENSG00000268555	NA	lncRNA
AC123912.5	ENSG00000271182	NA	processed_pseudogene
AC123912.6	ENSG00000274503	NA	unprocessed_pseudogene
AC124014.1	ENSG00000285165	NA	lncRNA
AC124016.1	ENSG00000272677	NA	lncRNA
AC124016.2	ENSG00000273156	NA	lncRNA
AC124017.1	ENSG00000249341	NA	lncRNA
AC124045.1	ENSG00000272077	NA	lncRNA
AC124057.1	ENSG00000230483	NA	lncRNA
AC124066.1	ENSG00000286799	NA	lncRNA
AC124067.1	ENSG00000253388	NA	lncRNA
AC124067.2	ENSG00000253414	NA	lncRNA
AC124067.3	ENSG00000254111	NA	lncRNA
AC124067.4	ENSG00000254290	NA	lncRNA
AC124068.1	ENSG00000259948	NA	processed_pseudogene
AC124068.2	ENSG00000261441	NA	lncRNA
AC124069.1	ENSG00000253168	NA	lncRNA
AC124076.1	ENSG00000274489	NA	processed_pseudogene
AC124242.1	ENSG00000245281	NA	lncRNA
AC124242.2	ENSG00000253384	NA	processed_pseudogene
AC124242.3	ENSG00000286542	NA	lncRNA
AC124248.1	ENSG00000259704	105370969	lncRNA
AC124248.2	ENSG00000287061	NA	lncRNA
AC124254.1	ENSG00000199392	NA	snoRNA
AC124254.2	ENSG00000264015	NA	lncRNA
AC124276.1	ENSG00000254991	NA	lncRNA
AC124276.2	ENSG00000255400	NA	lncRNA
AC124283.1	ENSG00000261845	NA	lncRNA
AC124283.2	ENSG00000262147	NA	lncRNA
AC124283.3	ENSG00000262652	NA	lncRNA
AC124283.4	ENSG00000265136	NA	processed_pseudogene
AC124283.5	ENSG00000279613	NA	TEC
AC124290.1	ENSG00000253452	NA	lncRNA
AC124290.2	ENSG00000253524	NA	lncRNA
AC124290.3	ENSG00000254309	NA	processed_pseudogene
AC124293.1	ENSG00000212989	NA	processed_pseudogene
AC124301.1	ENSG00000254586	NA	lncRNA
AC124303.1	ENSG00000280234	NA	TEC
AC124312.1	ENSG00000214265	NA	protein_coding
AC124312.2	ENSG00000257647	NA	lncRNA
AC124312.3	ENSG00000261069	NA	lncRNA
AC124312.4	ENSG00000279735	NA	TEC
AC124312.5	ENSG00000287482	NA	lncRNA
AC124319.1	ENSG00000262979	NA	lncRNA
AC124319.2	ENSG00000276863	NA	lncRNA
AC124319.3	ENSG00000280248	NA	TEC
AC124784.1	ENSG00000257910	NA	lncRNA
AC124798.1	ENSG00000260196	NA	lncRNA
AC124798.2	ENSG00000285545	NA	lncRNA
AC124798.3	ENSG00000287898	NA	lncRNA
AC124804.1	ENSG00000264985	NA	lncRNA
AC124852.1	ENSG00000248994	105374618	lncRNA
AC124854.1	ENSG00000249776	NA	lncRNA
AC124856.1	ENSG00000268105	NA	processed_pseudogene
AC124861.1	ENSG00000227479	NA	lncRNA
AC124861.2	ENSG00000286183	NA	lncRNA
AC124861.3	ENSG00000286325	NA	lncRNA
AC124862.1	ENSG00000287049	NA	lncRNA
AC124864.1	ENSG00000279211	NA	processed_pseudogene
AC124864.2	ENSG00000279864	NA	transcribed_processed_pseudogene
AC124864.3	ENSG00000286103	NA	lncRNA
AC124891.1	ENSG00000255885	NA	processed_pseudogene
AC124893.1	ENSG00000241882	NA	lncRNA
AC124916.1	ENSG00000236768	NA	processed_pseudogene
AC124916.2	ENSG00000270285	NA	processed_pseudogene
AC124944.1	ENSG00000231443	NA	processed_pseudogene
AC124944.2	ENSG00000260261	NA	transcribed_unprocessed_pseudogene
AC124944.3	ENSG00000286004	NA	lncRNA
